asset,Date,Position,Balance,Total share
ETH-USD,2023-07-01 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-02 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-03 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-04 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-05 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-06 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-07 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-08 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-09 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-10 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-11 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-12 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-13 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-14 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-15 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-16 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-17 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-18 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-19 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-20 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-21 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-22 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-23 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-24 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-25 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-26 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-27 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-28 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-29 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-30 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-07-31 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-01 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-02 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-03 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-04 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-05 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-06 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-07 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-08 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-09 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-10 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-11 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-12 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-13 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-14 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-15 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-16 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-17 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-18 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-19 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-20 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-21 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-22 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-23 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-24 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-25 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-26 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-27 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-28 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-29 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-30 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-08-31 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-01 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-02 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-03 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-04 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-05 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-06 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-07 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-08 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-09 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-10 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-11 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-12 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-13 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-14 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-15 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-16 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-17 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-18 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-19 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-20 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-21 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-22 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-23 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-24 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-25 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-26 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-27 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-28 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-29 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-09-30 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-01 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-02 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-03 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-04 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-05 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-06 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-07 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-08 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-09 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-10 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-11 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-12 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-13 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-14 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-15 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-16 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-17 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-18 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-19 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-20 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-21 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-22 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-23 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-24 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-25 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-26 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-27 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-28 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-29 00:00:00+00:00,SELL,1000.0,0.0
ETH-USD,2023-10-30 00:00:00+00:00,BUY,500.0,0.1156
ETH-USD,2023-10-31 00:00:00+00:00,BUY,250.0,0.1739
ETH-USD,2023-11-01 00:00:00+00:00,BUY,125.0,0.2028
ETH-USD,2023-11-02 00:00:00+00:00,SELL,1054.77,0.0
ETH-USD,2023-11-03 00:00:00+00:00,SELL,1054.77,0.0
ETH-USD,2023-11-04 00:00:00+00:00,SELL,1054.77,0.0
ETH-USD,2023-11-05 00:00:00+00:00,SELL,1054.77,0.0
ETH-USD,2023-11-06 00:00:00+00:00,SELL,1054.77,0.0
ETH-USD,2023-11-07 00:00:00+00:00,SELL,1054.77,0.0
ETH-USD,2023-11-08 00:00:00+00:00,BUY,527.39,0.1096
ETH-USD,2023-11-09 00:00:00+00:00,SELL,1046.33,0.0
ETH-USD,2023-11-10 00:00:00+00:00,SELL,1046.33,0.0
ETH-USD,2023-11-11 00:00:00+00:00,SELL,1046.33,0.0
ETH-USD,2023-11-12 00:00:00+00:00,BUY,523.17,0.1121
ETH-USD,2023-11-13 00:00:00+00:00,BUY,261.58,0.1683
ETH-USD,2023-11-14 00:00:00+00:00,SELL,1040.35,0.0
ETH-USD,2023-11-15 00:00:00+00:00,BUY,520.18,0.1141
ETH-USD,2023-11-16 00:00:00+00:00,BUY,260.09,0.1758
ETH-USD,2023-11-17 00:00:00+00:00,BUY,130.04,0.2062
ETH-USD,2023-11-18 00:00:00+00:00,SELL,954.79,0.0
ETH-USD,2023-11-19 00:00:00+00:00,SELL,954.79,0.0
ETH-USD,2023-11-20 00:00:00+00:00,BUY,477.39,0.1083
ETH-USD,2023-11-21 00:00:00+00:00,BUY,238.7,0.1642
ETH-USD,2023-11-22 00:00:00+00:00,SELL,909.85,0.0
ETH-USD,2023-11-23 00:00:00+00:00,BUY,454.93,0.1048
ETH-USD,2023-11-24 00:00:00+00:00,BUY,227.46,0.1585
ETH-USD,2023-11-25 00:00:00+00:00,BUY,113.73,0.1851
ETH-USD,2023-11-26 00:00:00+00:00,SELL,859.67,0.0
ETH-USD,2023-11-27 00:00:00+00:00,SELL,859.67,0.0
ETH-USD,2023-11-28 00:00:00+00:00,BUY,429.84,0.1001
ETH-USD,2023-11-29 00:00:00+00:00,BUY,214.92,0.1484
ETH-USD,2023-11-30 00:00:00+00:00,BUY,107.46,0.1716
